Question,Answer
What is the of women in management roles increased to 29.7% (2022?,The of women in management roles increased to 29.7% (2022 is 29.4%) and reached 35.2% in the workforce.
What is the Appointed to the Executive Board?,The Appointed to the Executive Board is 2018.
What is the Current Executive Board term expires?,The Current Executive Board term expires is 2025.
What is the Year of Birth?,The Year of Birth is 1980.
What is the Current Executive Board term expired?,The Current Executive Board term expired is 2027.
"What is the the free float, as at December 31, 2023, the free float stood at 83.6% (December 31, 2022?","The the free float, as at December 31, 2023, the free float stood at 83.6% (December 31, 2022 is 83.3%).."
What is the – February?,The – February is Approval of the Corporate Governance Statement for 2022.
What is the – May?,The – May is a) Resolution on the appropriation of retained earnings as amended for fiscal year 2022;.
What is the Financial Performance?,The Financial Performance is Review and Analysis 66.
"What is the 3 IDC, Worldwide Enterprise Applications Software Market Shares, 2022?","The 3 IDC, Worldwide Enterprise Applications Software Market Shares, 2022 is Cloud Is the Digital World Foundational Choice, Doc #US51040223,."
What is the The following offerings are currently part of our Cloud ERP Suite?,The The following offerings are currently part of our Cloud ERP Suite is SAP S/4HANA Cloud as part of.
"What is the In 2023, our Customer NPS increased 2 points year over year to 9 (2022?","The In 2023, our Customer NPS increased 2 points year over year to 9 (2022 is 714), which is within our target."
What is the 0.3 percentage points (pp) to 20.3% (2022?,The 0.3 percentage points (pp) to 20.3% (2022 is 20.6%). Our non-IFRS R&D ratio decreased 1.1 pp to 18.0%.
What is the year over year (2022?,"The year over year (2022 is 19.1%). At the end of 2023, our total full-time equivalent (FTE) headcount in."
"What is the development was 36,444 (2022?","The development was 36,444 (2022 is 35,280). Measured in FTEs, our R&D headcount increased 1 pp to 34%."
What is the of total headcount (2022?,The of total headcount (2022 is 33%)..
"What is the close to 13,000 (2022?","The close to 13,000 (2022 is close to 13,000) validated patents worldwide. Of these, more than 650."
What is the (2022?,The (2022 is more than 800) were granted and validated in 2023..
What is the €171.4 billion at the end of 2023 (2022?,"The €171.4 billion at the end of 2023 (2022 is €118.4 billion), with the book value of our equity in the."
"What is the Consolidated Financial Statements, which was €43.4 billion (2022?","The Consolidated Financial Statements, which was €43.4 billion (2022 is €42.8 billion). This means that the."
What is the Climate Performance?,The Climate Performance is Gross greenhouse gas 6.9 million tons gross.
What is the SAP S/4HANA Cloud revenue?,The SAP S/4HANA Cloud revenue is We used SAP S/4HANA Cloud revenue expressed in both actual.
What is the contribute to Cloud ERP Suite revenue?,"The contribute to Cloud ERP Suite revenue is SAP S/4HANA Cloud, SAP Business Technology Platform, and."
What is the Women in Executive Roles (WiER)?,"The Women in Executive Roles (WiER) is Starting in 2024, we will use this KPI to measure the ratio of."
What is the – Gross greenhouse gas emissions?,"The – Gross greenhouse gas emissions is Starting in 2024, we will use this metric to measure greenhouse."
"What is the 1 European Central Bank, Economic Bulletin, Issue 8/2023, Publication Date?","The 1 European Central Bank, Economic Bulletin, Issue 8/2023, Publication Date is January 11, 2024.."
What is the 2 IDC FutureScape?,"The 2 IDC FutureScape is Worldwide Digital Business Strategies 2024 Predictions, Doc #US50120323, October 2023.."
What is the Noteworthy is the strong momentum in our cloud business?,"The Noteworthy is the strong momentum in our cloud business is cloud revenue was up 20%, reaching."
What is the important non-financial performance indicators?,The important non-financial performance indicators is the Customer Net Promoter Score increased 6 points.
