Profit after tax1,"5,964"
Adjustments to reconcile profit after tax to net cash flow from operating activities:,
(Profit) loss after tax from discontinued operations,"–2,363"
Depreciation and amortization (D.2)–(D.4),"1,373"
Share-based payment expenses (B.3),"2,220"
Income tax expense (C.5),"1,741"
"Financial income, net (C.4)",456
,–10
Other adjustments for non-cash items,23
Decrease/increase in trade and other receivables,–393
Decrease/increase in other assets,–700
"Increase/decrease in trade payables, provisions, and other liabilities",633
,443
Share-based payments (B.3),"–1,091"
Interest paid,–393
Interest received,469
"Income taxes paid, net of refunds2","–2,161"
Net cash flows from operating activities – continuing operations,"6,210"
Net cash flows from operating activities – discontinued operations (D.1),122
Net cash flows from operating activities1,"6,332"
"Cash flows for business combinations, net of cash and cash equivalents acquired","–1,168"
,0
,–91
"Purchase of intangible assets and property, plant, and equipment",–785
"Proceeds from sales of intangible assets or property, plant, and equipment",99
Purchase of equity or debt instruments of other entities,"–3,566"
Proceeds from sales of equity or debt instruments of other entities,907
Net cash flows from investing activities – continuing operations,"–4,603"
,"5,510"
Net cash flows from investing activities1,906
Dividends paid (E.2),"–2,395"
Dividends paid on non-controlling interests,–13
Purchase of treasury shares (E.2),–949
Proceeds from borrowings (E.3),13
Repayments of borrowings (E.3),"–4,081"
Payments of lease liabilities,–332
Transactions with non-controlling interests (E.2),0
Net cash flows from financing activities – continuing operations,"–7,758"
Net cash flows from financing activities – discontinued operations (D.1),24
Net cash flows from financing activities1,"–7,734"
Effect of foreign currency rates on cash and cash equivalents,–388
Net decrease/increase in cash and cash equivalents,–883
Cash and cash equivalents at the beginning of the period (E.3),"9,008"
Cash and cash equivalents at the end of the period (E.3),"8,124"
