Participation,,,Meetings,Participation,,,Meetings,Participation,,,,Participation,
,,,,,,,,,,,,in %,
,7,,21,,18,,28,,25,,,89%,
,6,,19,,18,,26,,24,,,92%,
,6,,20,,18,,27,,24,,,89%,
,3,,5,,4,,8,,7,,,88%,
,7,,31,,30,,38,,37,,,97%,
,7,,16,,16,,23,,23,,,100%,
,6,,16,,14,,23,,20,,,87%,
,7,,23,,23,,30,,30,,,100%,
,7,,24,,22,,31,,29,,,94%,
,7,,14,,12,,21,,19,,,90%,
,7,,26,,26,,33,,33,,,100%,
,4,,7,,7,,11,,11,,,100%,
,7,,21,,21,,28,,28,,,100%,
,7,,23,,21,,30,,28,,,93%,
,7,,22,,21,,29,,28,,,97%,
,4,,0,,0,,7,,4,,,57%,
,7,,25,,25,,32,,32,,,100%,
,6,,24,,18,,31,,24,,,77%,
,7,,28,,28,,35,,35,,,100%,
